Date,Rater,Correct_Answer_3_Label,Correct_Answer_5_Label,Rater_Answer_3_Label,Rater_Answer_5_Label,Label_Agreement_3,Label_Agreement_5,TaskID
10/30/05,A,Low,Exceptional,Low,Intermediate,yes,no,2643,
10/27/05,C,High,Great,Low,Okay,no,no,2644,
10/19/05,D,High,Great,Average,Bad,no,no,2645,
10/18/05,A,Low,Bad,High,Great,no,no,2646,
10/12/05,A,Low,Exceptional,Low,Okay,yes,no,2647,
10/5/05,A,Low,Intermediate,High,Exceptional,no,no,2648,
10/24/05,C,Average,Intermediate,High,Okay,no,no,2649,
10/13/05,B,High,Exceptional,Average,Okay,no,no,2650,
10/12/05,D,Average,Intermediate,Average,Bad,yes,no,2651,
10/26/05,E,Average,Great,High,Okay,no,no,2652,
10/19/05,B,High,Intermediate,High,Great,yes,no,2653,
10/5/05,B,Average,Great,High,Intermediate,no,no,2654,
10/20/05,D,Average,Okay,Average,Exceptional,yes,no,2655,
10/8/05,E,Average,Bad,High,Exceptional,no,no,2656,
10/1/05,B,Average,Bad,High,Exceptional,no,no,2657,
10/19/05,A,Average,Okay,Average,Bad,yes,no,2658,
10/3/05,D,Average,Okay,High,Intermediate,no,no,2659,
10/22/05,C,High,Intermediate,High,Okay,yes,no,2660,
10/14/05,D,High,Bad,High,Intermediate,yes,no,2661,
10/29/05,B,Average,Bad,Average,Intermediate,yes,no,2662,
10/14/05,E,Low,Bad,High,Bad,no,yes,2663,
10/16/05,D,High,Bad,Low,Okay,no,no,2664,
10/3/05,B,High,Bad,High,Okay,yes,no,2665,
10/20/05,C,High,Exceptional,Low,Intermediate,no,no,2666,
10/16/05,D,Low,Exceptional,High,Intermediate,no,no,2667,
10/14/05,E,High,Intermediate,Low,Great,no,no,2668,
10/18/05,B,Average,Intermediate,Low,Intermediate,no,yes,2669,
10/2/05,D,Average,Great,Low,Exceptional,no,no,2670,
10/14/05,E,High,Intermediate,High,Great,yes,no,2671,
10/25/05,E,Average,Intermediate,Low,Exceptional,no,no,2672,
10/16/05,E,High,Bad,High,Okay,yes,no,2673,
10/7/05,D,Average,Exceptional,Low,Exceptional,no,yes,2674,
10/2/05,E,High,Okay,Average,Intermediate,no,no,2675,
10/14/05,A,Low,Exceptional,High,Bad,no,no,2676,
10/17/05,D,High,Intermediate,High,Bad,yes,no,2677,
10/19/05,E,High,Okay,High,Okay,yes,yes,2678,
10/3/05,C,High,Great,High,Intermediate,yes,no,2679,
10/8/05,D,Low,Intermediate,Average,Exceptional,no,no,2680,
10/16/05,E,Average,Exceptional,High,Bad,no,no,2681,
10/29/05,B,High,Bad,Low,Okay,no,no,2682,
10/18/05,D,Low,Intermediate,Low,Bad,yes,no,2683,
10/8/05,C,Average,Intermediate,High,Bad,no,no,2684,
10/11/05,D,Average,Great,Average,Bad,yes,no,2685,
10/29/05,E,High,Bad,Average,Bad,no,yes,2686,
10/13/05,A,Average,Okay,High,Great,no,no,2687,
10/8/05,B,Average,Intermediate,High,Bad,no,no,2688,
10/24/05,E,Average,Intermediate,Low,Bad,no,no,2689,
10/21/05,E,Average,Okay,Average,Okay,yes,yes,2690,
10/15/05,C,Low,Intermediate,Low,Exceptional,yes,no,2691,
10/5/05,D,Average,Exceptional,Low,Okay,no,no,2692,
10/17/05,C,Low,Okay,Low,Exceptional,yes,no,2693,
10/8/05,A,Average,Exceptional,High,Okay,no,no,2694,
10/13/05,A,Average,Great,High,Bad,no,no,2695,
10/29/05,E,Average,Great,Low,Exceptional,no,no,2696,
10/28/05,A,High,Exceptional,High,Okay,yes,no,2697,
10/13/05,B,Average,Okay,Low,Bad,no,no,2698,
10/3/05,C,High,Okay,Average,Great,no,no,2699,
10/14/05,E,High,Bad,Average,Great,no,no,2700,
10/6/05,C,Low,Great,Low,Exceptional,yes,no,2701,
10/26/05,D,Low,Intermediate,High,Great,no,no,2702,
10/12/05,C,High,Okay,Low,Intermediate,no,no,2703,
10/18/05,B,High,Okay,Low,Bad,no,no,2704,
10/22/05,D,Average,Intermediate,Low,Great,no,no,2705,
10/20/05,C,Low,Bad,Average,Okay,no,no,2706,
10/17/05,A,Average,Okay,High,Intermediate,no,no,2707,
10/9/05,C,High,Great,Average,Intermediate,no,no,2708,
10/15/05,C,Low,Intermediate,Average,Okay,no,no,2709,
10/13/05,E,High,Great,High,Great,yes,yes,2710,
10/1/05,B,Low,Exceptional,Average,Bad,no,no,2711,
10/16/05,A,Low,Exceptional,High,Intermediate,no,no,2712,
10/19/05,C,Average,Exceptional,Low,Great,no,no,2713,
10/11/05,A,Low,Bad,High,Great,no,no,2714,
10/16/05,C,High,Intermediate,High,Bad,yes,no,2715,
10/17/05,E,High,Bad,High,Exceptional,yes,no,2716,
10/1/05,B,High,Great,High,Exceptional,yes,no,2717,
10/7/05,D,Average,Okay,High,Intermediate,no,no,2718,
10/1/05,A,High,Exceptional,Average,Bad,no,no,2719,
10/30/05,D,High,Intermediate,Average,Great,no,no,2720,
10/22/05,B,Average,Bad,Low,Intermediate,no,no,2721,
10/6/05,A,Low,Okay,Low,Bad,yes,no,2722,
10/14/05,D,High,Bad,Average,Exceptional,no,no,2723,
10/10/05,C,Low,Exceptional,Low,Exceptional,yes,yes,2724,
10/11/05,A,Average,Okay,High,Bad,no,no,2725,
10/28/05,D,High,Bad,Low,Okay,no,no,2726,
10/30/05,C,High,Intermediate,Low,Exceptional,no,no,2727,
10/16/05,A,Average,Bad,Average,Okay,yes,no,2728,
10/25/05,A,Low,Exceptional,High,Intermediate,no,no,2729,
10/5/05,A,High,Intermediate,Low,Intermediate,no,yes,2730,
10/7/05,D,Average,Okay,Low,Great,no,no,2731,
10/11/05,E,High,Bad,Low,Intermediate,no,no,2732,
10/30/05,A,Average,Great,Average,Exceptional,yes,no,2733,
10/28/05,B,Average,Exceptional,High,Bad,no,no,2734,
10/3/05,E,Average,Bad,High,Bad,no,yes,2735,
10/13/05,C,Low,Okay,High,Intermediate,no,no,2736,
10/23/05,D,Low,Exceptional,Average,Great,no,no,2737,
10/24/05,A,High,Intermediate,High,Bad,yes,no,2738,
10/12/05,B,High,Okay,Average,Great,no,no,2739,
10/26/05,E,Average,Great,Average,Great,yes,yes,2740,
10/10/05,B,High,Intermediate,Low,Okay,no,no,2741,
10/30/05,C,Average,Intermediate,Average,Bad,yes,no,2742,
10/8/05,A,Average,Okay,Average,Great,yes,no,2743,
10/14/05,C,High,Great,Low,Bad,no,no,2744,
10/25/05,C,High,Bad,High,Intermediate,yes,no,2745,
10/20/05,C,Average,Okay,Average,Exceptional,yes,no,2746,
10/16/05,A,High,Okay,Low,Great,no,no,2747,
10/19/05,B,High,Great,Average,Great,no,yes,2748,
10/25/05,E,Average,Intermediate,Low,Bad,no,no,2749,
10/16/05,B,Average,Okay,Low,Intermediate,no,no,2750,
10/6/05,E,High,Exceptional,High,Okay,yes,no,2751,
10/2/05,C,High,Intermediate,Low,Exceptional,no,no,2752,
10/7/05,C,Low,Intermediate,Low,Bad,yes,no,2753,
10/26/05,B,Average,Exceptional,Average,Okay,yes,no,2754,
10/22/05,A,High,Bad,High,Okay,yes,no,2755,
10/21/05,C,Low,Bad,Low,Exceptional,yes,no,2756,
10/16/05,E,High,Okay,Low,Bad,no,no,2757,
10/30/05,E,High,Exceptional,High,Great,yes,no,2758,
10/23/05,A,High,Great,Average,Intermediate,no,no,2759,
10/17/05,D,Low,Okay,Low,Great,yes,no,2760,
10/16/05,C,Low,Intermediate,Low,Intermediate,yes,yes,2761,
10/2/05,D,Average,Great,Average,Okay,yes,no,2762,
10/29/05,D,Low,Intermediate,High,Exceptional,no,no,2763,
10/2/05,C,Low,Great,Low,Bad,yes,no,2764,
10/9/05,C,Low,Intermediate,Low,Okay,yes,no,2765,
10/27/05,D,High,Bad,Average,Okay,no,no,2766,
10/19/05,C,Low,Exceptional,Low,Intermediate,yes,no,2767,
10/20/05,E,Average,Exceptional,Average,Exceptional,yes,yes,2768,
10/21/05,D,High,Intermediate,Low,Great,no,no,2769,
10/26/05,B,Low,Intermediate,Average,Exceptional,no,no,2770,
10/7/05,B,High,Intermediate,High,Intermediate,yes,yes,2771,
10/23/05,A,Average,Exceptional,Low,Okay,no,no,2772,
10/13/05,D,Low,Bad,High,Bad,no,yes,2773,
10/13/05,D,High,Bad,High,Great,yes,no,2774,
10/1/05,C,High,Exceptional,Low,Bad,no,no,2775,
10/7/05,D,Low,Exceptional,Average,Exceptional,no,yes,2776,
10/26/05,D,Average,Intermediate,High,Exceptional,no,no,2777,
10/20/05,D,Average,Bad,Low,Bad,no,yes,2778,
10/18/05,A,Average,Okay,Average,Bad,yes,no,2779,
10/10/05,A,Average,Okay,High,Okay,no,yes,2780,
10/6/05,E,Average,Okay,Low,Great,no,no,2781,
10/30/05,C,Average,Okay,Average,Bad,yes,no,2782,
10/25/05,A,High,Great,Average,Intermediate,no,no,2783,
10/21/05,C,Low,Okay,Average,Intermediate,no,no,2784,
10/23/05,B,High,Exceptional,Average,Exceptional,no,yes,2785,
10/29/05,B,Average,Exceptional,High,Intermediate,no,no,2786,
10/15/05,A,Average,Exceptional,High,Bad,no,no,2787,
10/18/05,C,Average,Intermediate,Low,Exceptional,no,no,2788,
10/7/05,C,High,Bad,High,Intermediate,yes,no,2789,
10/24/05,A,Average,Intermediate,High,Exceptional,no,no,2790,
10/19/05,C,Low,Bad,Average,Intermediate,no,no,2791,
10/10/05,A,High,Bad,High,Exceptional,yes,no,2792,
10/2/05,D,Average,Intermediate,Average,Okay,yes,no,2793,
10/24/05,E,Average,Okay,High,Exceptional,no,no,2794,
10/20/05,D,High,Okay,Average,Bad,no,no,2795,
10/21/05,E,High,Okay,High,Okay,yes,yes,2796,
10/8/05,A,Average,Okay,High,Intermediate,no,no,2797,
10/3/05,E,Low,Okay,High,Intermediate,no,no,2798,
10/13/05,E,Average,Okay,Average,Okay,yes,yes,2799,
10/4/05,D,High,Great,High,Bad,yes,no,2800,
10/7/05,D,High,Bad,High,Bad,yes,yes,2801,
10/20/05,C,Low,Bad,Low,Intermediate,yes,no,2802,
10/25/05,C,Average,Great,Average,Bad,yes,no,2803,
10/29/05,B,Average,Intermediate,High,Intermediate,no,yes,2804,
10/21/05,D,High,Okay,Average,Exceptional,no,no,2805,
10/19/05,B,Average,Great,High,Bad,no,no,2806,
10/23/05,B,Average,Bad,Average,Great,yes,no,2807,
10/5/05,A,Average,Great,Average,Okay,yes,no,2808,
10/25/05,D,High,Bad,Low,Great,no,no,2809,
10/24/05,A,High,Intermediate,Low,Exceptional,no,no,2810,
10/17/05,E,High,Exceptional,Average,Exceptional,no,yes,2811,
10/27/05,D,High,Bad,High,Intermediate,yes,no,2812,
10/17/05,C,Low,Great,Low,Exceptional,yes,no,2813,
10/26/05,B,High,Okay,High,Bad,yes,no,2814,
10/7/05,D,Low,Exceptional,High,Bad,no,no,2815,
10/2/05,E,Average,Intermediate,Low,Okay,no,no,2816,
10/13/05,A,Average,Exceptional,High,Intermediate,no,no,2817,
10/19/05,C,High,Okay,High,Exceptional,yes,no,2818,
10/17/05,B,High,Intermediate,Low,Bad,no,no,2819,
10/25/05,B,Average,Bad,Low,Exceptional,no,no,2820,
10/27/05,E,Low,Intermediate,Low,Intermediate,yes,yes,2821,
10/23/05,A,Low,Okay,Low,Bad,yes,no,2822,
10/12/05,D,High,Okay,Average,Bad,no,no,2823,
10/11/05,A,Average,Great,Average,Intermediate,yes,no,2824,
10/4/05,E,Low,Great,Low,Okay,yes,no,2825,
10/12/05,A,Low,Bad,Average,Great,no,no,2826,
10/7/05,D,High,Okay,Low,Bad,no,no,2827,
10/13/05,E,Average,Exceptional,High,Great,no,no,2828,
10/1/05,D,High,Intermediate,High,Exceptional,yes,no,2829,
10/3/05,B,Low,Exceptional,Average,Great,no,no,2830,
10/14/05,C,High,Exceptional,High,Great,yes,no,2831,
10/9/05,C,Low,Exceptional,High,Great,no,no,2832,
10/13/05,C,Average,Bad,Low,Intermediate,no,no,2833,
10/2/05,D,Low,Okay,Low,Exceptional,yes,no,2834,
10/30/05,E,Average,Bad,Average,Great,yes,no,2835,
10/18/05,D,High,Exceptional,High,Exceptional,yes,yes,2836,
10/5/05,C,Low,Great,Low,Bad,yes,no,2837,
10/12/05,D,High,Intermediate,Average,Exceptional,no,no,2838,
10/10/05,A,High,Okay,High,Bad,yes,no,2839,
10/5/05,B,Low,Exceptional,High,Okay,no,no,2840,
10/13/05,D,Low,Bad,Low,Exceptional,yes,no,2841,
10/4/05,B,High,Intermediate,High,Okay,yes,no,2842,
10/10/05,B,High,Intermediate,High,Okay,yes,no,2843,
10/6/05,D,Low,Exceptional,High,Great,no,no,2844,
10/3/05,E,Low,Great,Low,Great,yes,yes,2845,
10/5/05,A,High,Okay,High,Exceptional,yes,no,2846,
10/2/05,D,High,Bad,High,Intermediate,yes,no,2847,
10/23/05,B,Low,Exceptional,Low,Great,yes,no,2848,
10/8/05,E,Low,Okay,Low,Okay,yes,yes,2849,
10/4/05,E,Average,Intermediate,High,Great,no,no,2850,
10/5/05,E,Average,Okay,Low,Intermediate,no,no,2851,
10/22/05,A,High,Okay,High,Great,yes,no,2852,
10/13/05,B,Low,Bad,High,Intermediate,no,no,2853,
10/16/05,D,High,Intermediate,Low,Exceptional,no,no,2854,
10/11/05,D,Low,Great,High,Okay,no,no,2855,
10/25/05,D,High,Intermediate,Low,Okay,no,no,2856,
10/1/05,E,Average,Great,Low,Exceptional,no,no,2857,
10/3/05,C,Low,Great,High,Bad,no,no,2858,
10/6/05,A,Low,Okay,Average,Bad,no,no,2859,
10/9/05,C,Average,Okay,Low,Great,no,no,2860,
10/27/05,C,Average,Okay,High,Okay,no,yes,2861,
10/24/05,D,Average,Intermediate,High,Exceptional,no,no,2862,
10/11/05,A,High,Exceptional,Average,Okay,no,no,2863,
10/7/05,A,Low,Intermediate,Low,Exceptional,yes,no,2864,
10/20/05,E,High,Bad,Low,Bad,no,yes,2865,
10/24/05,D,Low,Great,Average,Intermediate,no,no,2866,
10/9/05,A,Average,Bad,Average,Okay,yes,no,2867,
10/14/05,B,Average,Intermediate,Average,Exceptional,yes,no,2868,
10/15/05,E,High,Bad,High,Intermediate,yes,no,2869,
10/21/05,A,Average,Intermediate,Average,Great,yes,no,2870,
10/2/05,D,High,Exceptional,High,Bad,yes,no,2871,
10/10/05,C,Low,Bad,Low,Exceptional,yes,no,2872,
10/20/05,E,Average,Okay,High,Great,no,no,2873,
10/27/05,E,High,Great,Low,Exceptional,no,no,2874,
10/17/05,D,Average,Great,Low,Exceptional,no,no,2875,
10/3/05,D,High,Okay,Average,Okay,no,yes,2876,
10/19/05,D,Low,Bad,High,Intermediate,no,no,2877,
10/1/05,C,Low,Great,High,Intermediate,no,no,2878,
10/29/05,C,Low,Exceptional,Average,Bad,no,no,2879,
10/16/05,A,High,Bad,High,Intermediate,yes,no,2880,
10/3/05,D,High,Exceptional,Low,Great,no,no,2881,
10/28/05,E,Low,Exceptional,High,Exceptional,no,yes,2882,
10/9/05,C,Average,Great,Low,Exceptional,no,no,2883,
10/9/05,C,Average,Bad,Average,Bad,yes,yes,2884,
10/26/05,E,High,Great,Average,Bad,no,no,2885,
10/13/05,D,Average,Intermediate,Average,Exceptional,yes,no,2886,
10/2/05,E,Low,Intermediate,Low,Exceptional,yes,no,2887,
10/30/05,E,Low,Exceptional,Average,Great,no,no,2888,
10/3/05,B,High,Bad,Low,Intermediate,no,no,2889,
10/11/05,A,Average,Bad,Average,Bad,yes,yes,2890,
10/2/05,C,Low,Great,Average,Exceptional,no,no,2891,
10/8/05,B,Low,Intermediate,Low,Bad,yes,no,2892,
10/26/05,C,Low,Great,Low,Exceptional,yes,no,2893,
10/25/05,D,High,Intermediate,High,Intermediate,yes,yes,2894,
10/1/05,C,Low,Bad,Low,Exceptional,yes,no,2895,
10/3/05,B,Low,Exceptional,Average,Intermediate,no,no,2896,
10/5/05,C,High,Exceptional,Low,Great,no,no,2897,
10/26/05,A,High,Great,Average,Bad,no,no,2898,
10/21/05,D,Average,Great,Low,Intermediate,no,no,2899,
10/28/05,A,Low,Exceptional,Low,Great,yes,no,2900,
10/10/05,A,High,Bad,Low,Bad,no,yes,2901,
10/2/05,A,Average,Intermediate,High,Exceptional,no,no,2902,
10/11/05,A,Low,Exceptional,Average,Exceptional,no,yes,2903,
10/16/05,C,Low,Okay,Low,Exceptional,yes,no,2904,
10/4/05,D,Low,Okay,Average,Great,no,no,2905,
10/1/05,B,Low,Okay,Low,Exceptional,yes,no,2906,
10/3/05,E,High,Great,Average,Great,no,yes,2907,
10/21/05,E,High,Intermediate,High,Bad,yes,no,2908,
10/12/05,B,Average,Intermediate,High,Intermediate,no,yes,2909,
10/21/05,A,Average,Okay,High,Bad,no,no,2910,
10/12/05,A,Average,Bad,Low,Exceptional,no,no,2911,
10/26/05,E,High,Bad,Average,Exceptional,no,no,2912,
10/4/05,C,Low,Great,Low,Okay,yes,no,2913,
10/3/05,E,Average,Okay,Low,Exceptional,no,no,2914,
10/7/05,D,Low,Bad,High,Great,no,no,2915,
10/1/05,E,Low,Exceptional,High,Bad,no,no,2916,
10/18/05,B,Average,Great,Average,Okay,yes,no,2917,
10/19/05,D,High,Great,Low,Bad,no,no,2918,
10/20/05,E,High,Great,Low,Great,no,yes,2919,
10/29/05,E,High,Intermediate,Average,Bad,no,no,2920,
10/18/05,D,Average,Exceptional,High,Intermediate,no,no,2921,
10/4/05,C,Low,Exceptional,Low,Intermediate,yes,no,2922,
10/15/05,A,Average,Okay,Low,Bad,no,no,2923,
10/2/05,E,Low,Intermediate,Average,Intermediate,no,yes,2924,
10/9/05,E,High,Great,Average,Intermediate,no,no,2925,
10/13/05,D,Low,Bad,Average,Intermediate,no,no,2926,
10/20/05,C,High,Exceptional,Average,Bad,no,no,2927,
10/2/05,A,Average,Intermediate,Low,Okay,no,no,2928,
10/22/05,E,Average,Great,Average,Intermediate,yes,no,2929,
10/3/05,D,High,Bad,Low,Okay,no,no,2930,
10/3/05,B,Average,Bad,High,Okay,no,no,2931,
10/17/05,D,Average,Exceptional,Low,Intermediate,no,no,2932,
10/13/05,D,Average,Okay,Average,Intermediate,yes,no,2933,
10/4/05,B,Low,Great,High,Intermediate,no,no,2934,
10/27/05,A,Low,Bad,Low,Great,yes,no,2935,
10/7/05,A,High,Okay,Low,Exceptional,no,no,2936,
10/18/05,D,High,Exceptional,Average,Intermediate,no,no,2937,
10/10/05,E,Low,Okay,High,Intermediate,no,no,2938,
10/15/05,A,Average,Intermediate,Average,Bad,yes,no,2939,
10/2/05,A,Average,Exceptional,Average,Exceptional,yes,yes,2940,
10/16/05,D,High,Intermediate,High,Bad,yes,no,2941,
10/14/05,A,Low,Bad,Low,Okay,yes,no,2942,
10/7/05,D,Low,Great,Average,Bad,no,no,2943,
10/6/05,B,High,Intermediate,High,Intermediate,yes,yes,2944,
10/4/05,B,Low,Intermediate,Low,Intermediate,yes,yes,2945,
10/2/05,C,High,Bad,Low,Exceptional,no,no,2946,
10/20/05,D,Average,Exceptional,Low,Okay,no,no,2947,
10/22/05,A,High,Exceptional,Average,Great,no,no,2948,
10/21/05,B,Average,Okay,High,Exceptional,no,no,2949,
10/7/05,D,Average,Okay,High,Exceptional,no,no,2950,
10/9/05,B,Average,Great,High,Exceptional,no,no,2951,
10/14/05,A,Low,Bad,Low,Great,yes,no,2952,
10/17/05,C,Average,Great,High,Exceptional,no,no,2953,
10/1/05,E,Average,Great,High,Exceptional,no,no,2954,
10/1/05,E,Average,Great,Average,Okay,yes,no,2955,
10/30/05,A,Average,Great,Low,Bad,no,no,2956,
10/19/05,C,Low,Bad,Low,Okay,yes,no,2957,
10/10/05,D,High,Bad,High,Intermediate,yes,no,2958,
10/14/05,D,High,Bad,High,Okay,yes,no,2959,
10/18/05,D,High,Exceptional,Low,Great,no,no,2960,
10/8/05,B,High,Intermediate,High,Exceptional,yes,no,2961,
10/7/05,A,Low,Bad,High,Intermediate,no,no,2962,
10/27/05,C,High,Okay,High,Bad,yes,no,2963,
10/27/05,E,High,Bad,Low,Exceptional,no,no,2964,
10/3/05,A,Average,Bad,Average,Okay,yes,no,2965,
10/9/05,B,Average,Okay,High,Intermediate,no,no,2966,
10/15/05,B,Low,Intermediate,High,Great,no,no,2967,
10/27/05,C,Average,Exceptional,Average,Okay,yes,no,2968,
10/9/05,A,Average,Great,High,Bad,no,no,2969,
10/2/05,B,High,Exceptional,Average,Exceptional,no,yes,2970,
10/20/05,B,Average,Bad,Low,Exceptional,no,no,2971,
10/5/05,B,Average,Exceptional,Average,Bad,yes,no,2972,
10/29/05,D,Average,Bad,High,Okay,no,no,2973,
10/9/05,D,High,Great,High,Okay,yes,no,2974,
10/29/05,D,Average,Intermediate,High,Okay,no,no,2975,
10/29/05,C,High,Bad,High,Intermediate,yes,no,2976,
10/10/05,B,Low,Okay,High,Great,no,no,2977,
10/6/05,E,Low,Bad,Low,Bad,yes,yes,2978,
10/19/05,C,Average,Okay,Low,Exceptional,no,no,2979,
10/26/05,B,Low,Great,High,Great,no,yes,2980,
10/12/05,B,Average,Okay,High,Bad,no,no,2981,
10/25/05,E,High,Bad,High,Great,yes,no,2982,
10/2/05,C,Low,Bad,Average,Exceptional,no,no,2983,
10/19/05,D,Low,Intermediate,Average,Great,no,no,2984,
10/15/05,D,Average,Bad,Average,Bad,yes,yes,2985,
10/8/05,B,Low,Intermediate,Average,Bad,no,no,2986,
10/1/05,C,Average,Exceptional,Low,Okay,no,no,2987,
10/15/05,B,High,Okay,Average,Exceptional,no,no,2988,
10/14/05,B,Low,Intermediate,Low,Great,yes,no,2989,
10/2/05,C,Low,Exceptional,Low,Great,yes,no,2990,
10/21/05,C,Average,Exceptional,Average,Exceptional,yes,yes,2991,
10/10/05,E,Low,Great,High,Bad,no,no,2992,
10/10/05,E,Low,Exceptional,Average,Intermediate,no,no,2993,
10/29/05,E,Low,Intermediate,Average,Exceptional,no,no,2994,
10/16/05,A,High,Bad,Average,Okay,no,no,2995,
10/14/05,B,Average,Intermediate,Average,Exceptional,yes,no,2996,
10/25/05,B,Average,Bad,Average,Okay,yes,no,2997,
10/22/05,A,Low,Great,Low,Great,yes,yes,2998,
10/25/05,E,High,Great,Average,Intermediate,no,no,2999,
10/20/05,D,High,Okay,High,Exceptional,yes,no,3000,
10/2/05,A,Average,Okay,Average,Great,yes,no,3001,
10/10/05,D,High,Intermediate,Average,Bad,no,no,3002,
10/24/05,A,High,Exceptional,Average,Exceptional,no,yes,3003,
10/19/05,D,Average,Exceptional,Low,Exceptional,no,yes,3004,
10/30/05,D,Average,Great,High,Okay,no,no,3005,
10/17/05,A,High,Exceptional,Low,Bad,no,no,3006,
10/5/05,A,Low,Intermediate,High,Okay,no,no,3007,
10/16/05,C,Average,Exceptional,Average,Bad,yes,no,3008,
10/1/05,D,Average,Okay,Average,Exceptional,yes,no,3009,
10/16/05,B,High,Bad,High,Bad,yes,yes,3010,
10/14/05,B,Average,Exceptional,High,Great,no,no,3011,
10/30/05,C,Average,Bad,Low,Exceptional,no,no,3012,
10/6/05,A,Low,Intermediate,Average,Bad,no,no,3013,
10/6/05,E,High,Great,Low,Bad,no,no,3014,
10/5/05,D,High,Okay,Average,Great,no,no,3015,
10/26/05,E,Average,Bad,Low,Bad,no,yes,3016,
10/2/05,E,Low,Bad,Low,Okay,yes,no,3017,
10/23/05,E,High,Exceptional,Low,Okay,no,no,3018,
10/24/05,A,Low,Bad,High,Okay,no,no,3019,
10/15/05,D,Low,Intermediate,Low,Intermediate,yes,yes,3020,
10/5/05,E,Average,Bad,Average,Okay,yes,no,3021,
10/28/05,E,Average,Intermediate,Average,Great,yes,no,3022,
10/14/05,E,Average,Bad,Average,Okay,yes,no,3023,
10/13/05,C,Low,Great,Average,Bad,no,no,3024,
10/17/05,C,Average,Exceptional,High,Great,no,no,3025,
10/29/05,E,Average,Okay,Low,Okay,no,yes,3026,
10/26/05,C,High,Bad,Average,Intermediate,no,no,3027,
10/3/05,C,High,Great,Average,Bad,no,no,3028,
10/6/05,B,Average,Intermediate,Low,Great,no,no,3029,
10/5/05,E,Average,Intermediate,High,Okay,no,no,3030,
10/26/05,D,Low,Bad,Low,Okay,yes,no,3031,
10/25/05,A,High,Okay,Average,Okay,no,yes,3032,
10/28/05,C,Average,Intermediate,Low,Intermediate,no,yes,3033,
10/13/05,B,Low,Bad,Low,Great,yes,no,3034,
10/4/05,B,High,Bad,Low,Great,no,no,3035,
10/7/05,B,Average,Okay,High,Great,no,no,3036,
10/2/05,D,Average,Great,Average,Great,yes,yes,3037,
10/28/05,C,Low,Intermediate,Average,Great,no,no,3038,
10/22/05,A,Average,Exceptional,Average,Exceptional,yes,yes,3039,
10/19/05,D,High,Great,Average,Exceptional,no,no,3040,
10/2/05,D,Average,Okay,Low,Okay,no,yes,3041,
10/23/05,C,Low,Great,Low,Okay,yes,no,3042,
10/30/05,E,High,Bad,Average,Bad,no,yes,3043,
10/12/05,B,High,Exceptional,High,Okay,yes,no,3044,
10/24/05,E,Average,Okay,High,Intermediate,no,no,3045,
10/24/05,A,Average,Great,Average,Bad,yes,no,3046,
10/18/05,D,Average,Okay,Average,Intermediate,yes,no,3047,
10/18/05,A,Low,Intermediate,High,Intermediate,no,yes,3048,
10/29/05,C,Low,Intermediate,Average,Intermediate,no,yes,3049,
10/30/05,E,Average,Great,Average,Intermediate,yes,no,3050,
10/19/05,B,Low,Great,Low,Okay,yes,no,3051,
10/19/05,D,High,Great,High,Intermediate,yes,no,3052,
10/14/05,C,Low,Bad,Low,Bad,yes,yes,3053,
10/2/05,E,High,Great,Low,Okay,no,no,3054,
10/1/05,D,High,Exceptional,Average,Intermediate,no,no,3055,
10/3/05,D,Average,Intermediate,High,Okay,no,no,3056,
10/11/05,B,Average,Great,High,Okay,no,no,3057,
10/16/05,C,Low,Okay,Low,Intermediate,yes,no,3058,
10/12/05,E,Average,Exceptional,Low,Great,no,no,3059,
10/12/05,E,Average,Exceptional,Low,Bad,no,no,3060,
10/16/05,D,High,Bad,High,Exceptional,yes,no,3061,
10/8/05,B,Low,Great,Low,Okay,yes,no,3062,
10/4/05,E,High,Bad,High,Exceptional,yes,no,3063,
10/16/05,A,High,Exceptional,High,Okay,yes,no,3064,
10/19/05,A,Low,Exceptional,High,Bad,no,no,3065,
10/8/05,C,High,Exceptional,Low,Bad,no,no,3066,
10/28/05,D,High,Great,Low,Bad,no,no,3067,
10/21/05,E,Low,Exceptional,Average,Intermediate,no,no,3068,
10/14/05,B,Low,Exceptional,Low,Okay,yes,no,3069,
10/17/05,A,High,Okay,Low,Bad,no,no,3070,
10/9/05,E,Average,Exceptional,Average,Intermediate,yes,no,3071,
10/14/05,E,Average,Bad,Average,Intermediate,yes,no,3072,
10/14/05,C,Low,Exceptional,High,Okay,no,no,3073,
10/9/05,C,Low,Great,Low,Bad,yes,no,3074,
10/19/05,B,Average,Intermediate,High,Bad,no,no,3075,
10/3/05,A,Low,Exceptional,High,Intermediate,no,no,3076,
10/21/05,E,High,Okay,Low,Bad,no,no,3077,
10/27/05,A,Average,Bad,High,Intermediate,no,no,3078,
10/24/05,A,Low,Exceptional,Low,Exceptional,yes,yes,3079,
10/13/05,E,High,Intermediate,High,Exceptional,yes,no,3080,
10/11/05,C,High,Bad,Low,Bad,no,yes,3081,
10/5/05,D,High,Okay,Low,Intermediate,no,no,3082,
10/19/05,D,High,Intermediate,Average,Intermediate,no,yes,3083,
10/24/05,D,Average,Intermediate,Low,Great,no,no,3084,
10/19/05,B,Average,Great,Average,Okay,yes,no,3085,
10/28/05,E,High,Exceptional,High,Intermediate,yes,no,3086,
10/28/05,C,High,Bad,Average,Intermediate,no,no,3087,
10/12/05,E,Average,Intermediate,High,Great,no,no,3088,
